,word,kanji,reading,overall_rank,rank_english,rank_japanese
607,sleep,眠る,ねむる,608,2705,1867
608,famous,有名,ゆうめい,609,2717,785
609,writer,筆者,ひっしゃ,610,2718,5773
610,violence,乱暴,らんぼう,611,2720,5628
611,drink,飲む,のむ,612,2724,145
612,eat,食べる,たべる,613,2728,144
613,agriculture,農業,のうぎょう,614,2730,1579
614,practical,実用的,じつようてき,615,2735,2757
615,seat,座席,ざせき,616,2740,2549
616,philosophy,哲学,てつがく,617,2747,5934
617,ticket,切符,きっぷ,618,2771,952
618,ticket,チケット,チケット,619,2771,1216
619,ticket,券,けん,620,2771,2515
620,import,輸入,ゆにゅう,621,2780,1490
621,moon,月,つき,622,2801,45
622,participation,参加,さんか,623,2802,1357
623,participation,出場,しゅつじょう,624,2802,2153
624,fly,飛ぶ,とぶ,625,2806,322
625,fly,はえ,はえ,626,2806,5681
626,combination,組み合わせ,くみあわせ,627,2810,2973
627,fear,恐れる,おそれる,628,2824,3639
628,bonus,ボーナス,ボーナス,629,2844,4446
629,smoking,喫煙,きつえん,630,2856,3686
630,dress,ドレス,ドレス,631,2868,4736
631,dress,ワンピース,ワンピース,632,2868,4887
632,happen,起こる,おこる,633,2877,352
633,clothes,服,ふく,634,2888,291
634,newspaper,新聞,しんぶん,635,2896,754
635,circuit,回路,かいろ,636,2898,2411
636,nine,九,きゅう,637,2910,21
637,nine,九,く,638,2910,403
638,promotion,推進,すいしん,639,2926,2982
639,importance,大事,だいじ,640,2946,614
640,rain,雨,あめ,641,2947,514
641,tennis,テニス,テニス,642,2960,921
642,bedroom,寝室,しんしつ,643,2963,3229
643,empty,空っぽ,からっぽ,644,2964,2053
644,hole,穴,あな,645,2966,1887
645,pair,対,つい,646,2978,4839
646,ideal,理想,りそう,647,2979,5083
647,stress,ストレス,ストレス,648,2989,2414
648,cream,クリーム,クリーム,649,2990,3161
649,encyclopedia,百科事典,ひゃっかじてん,650,3030,5563
650,usage,使用,しよう,651,3031,2212
651,ink,インク,インク,652,3033,1351
652,wheel,車輪,しゃりん,653,3043,3210
653,salt,塩,しお,654,3047,1574
654,poetry,詩,し,655,3049,3662
655,bell,ベル,ベル,656,3053,1346
656,noise,騒音,そうおん,657,3061,5589
657,climate,気候,きこう,658,3069,2945
658,kill,殺す,ころす,659,3096,1388
659,mathematics,数学,すうがく,660,3097,873
660,export,輸出,ゆしゅつ,661,3101,1492
661,coach,コーチ,コーチ,662,3126,2431
662,audience,観衆,かんしゅう,663,3131,3888
663,expenses,費用,ひよう,664,3158,4307
664,lose,負ける,まける,665,3169,247
